,Probe,X_bool_sig,Y_bool_sig,Z_bool_sig,X_int_bool,Y_int_bool,Z_int_bool
0,1,False,False,True,False,False,False
1,2,False,True,True,False,False,False
2,3,True,False,False,False,False,False
3,4,True,False,False,False,False,True
4,5,False,True,False,True,False,False
5,6,False,False,False,False,False,False
6,7,False,True,False,False,False,False
7,8,True,False,True,True,False,True
8,9,False,False,False,False,False,False
9,10,True,True,False,False,False,False
10,11,False,False,False,False,False,False
11,12,False,False,False,True,True,True
